"BTCUSDT",1710194720,"25.90","108,009",true,"1m"
"BTCUSDT",1710194721,"25.66","104,546",true,"1m"
"BTCUSDT",1710194722,"25.29","79,975",true,"1m"
"BTCUSDT",1710194723,"24.50","72,745",true,"1m"
"BTCUSDT",1710194724,"24.81","70,448",true,"1m"
"BTCUSDT",1710194725,"24.41","102,500",true,"1m"
"BTCUSDT",1710194726,"24.82","80,404",true,"1m"
"BTCUSDT",1710194727,"24.64","92,215",true,"1m"
"BTCUSDT",1710194728,"25.08","82,125",true,"1m"
"BTCUSDT",1710194729,"25.26","118,998",true,"1m"
"BTCUSDT",1710194730,"26.40","167,589",true,"1m"
"BTCUSDT",1710194731,"25.58","183,962",true,"1m"
"BTCUSDT",1710194732,"25.08","75,874",true,"1m"
"BTCUSDT",1710194733,"25.18","72,142",true,"1m"
"BTCUSDT",1710194734,"25.66","68,888",true,"1m"
"BTCUSDT",1710194735,"25.40","93,771",true,"1m"
"BTCUSDT",1710194736,"24.86","67,079",true,"1m"
"BTCUSDT",1710194737,"24.32","104,304",true,"1m"
"BTCUSDT",1710194738,"25.30","73,407",true,"1m"
"BTCUSDT",1710194739,"24.35","85,027",true,"1m"
"BTCUSDT",1710194740,"23.53","81,200",true,"1m"
"BTCUSDT",1710194741,"23.12","59,301",true,"1m"
